,unique_id,transaction_id,unformatted_date,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
1004,556931,20161008|24|20182917|1|3264643,2017-01-01,12962,TAKIS FUGO BRCL 4OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,97,24 Hazleton,200 Main St S,Hazleton,50641,42.6151,-91.906,ACTIVE,1.99,1.16267,0.82733,1.0
2593,281791,20161008|479|2|2|2801046,2017-01-01,10542,GRP SDA 16OZ CAN,250,Pk Bev-csd/pop (71),243,Pop (587),448,236,479 Lincoln,214 E Main St,Lincoln,65338,38.3907,-93.3343,CLOSED,1.19,0.80091,0.38909,1.0
384,1481256,20161008|578|2|2|2987836,2017-01-01,3822,NUT HAR ALMONDS 2.25OZ,55,Nuts & seeds,185,Nuts,318,310,578 Millbrook,145 Kelley Blvd,Millbrook,36054,39.2417,-91.6434,ACTIVE,1.99,0.7,1.29,1.0
1853,305378,20161009|906|3|1|1251996,2017-01-02,6243,DT COKE 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,428,906 Aurora,18555 E Smoky Hill Rd,Aurora,80015,39.6192,-104.771,ACTIVE,1.79,0.74342,1.04658,1.0
2644,1688769,20161009|905|1|3|2504367,2017-01-02,3879,DORITO NCHO CHZ 10OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,427,905 Mobile,685 Schillinger Rd,Mobile,36695,39.8319,-105.004,ACTIVE,4.29,1.13,3.16,1.0
1436,2337791,20161009|135|2|2|1063655,2017-01-02,2348,20OZ COFFEE REFILL,147,Hot Bev-refills (305),232,Hot Dispensed Beverage,11,20,135 Fort Payne,2001 Glenn Bldv Sw,Fort Payne,35968,41.5445,-94.9231,ACTIVE,1.0,0.537026,0.462974,1.0
964,958570,20161009|370|2|1|3067222,2017-01-02,10411,WTR 1LT,255,Bottled Water,150,Juice/tonics,174,140,370 Dunning,403 Jewett Ave,Dunning,68833,41.8281,-100.105,ACTIVE,1.49,1.18211,0.30789,1.0
1903,166740,20161009|964|2|1|2030875,2017-01-02,6273,DASANI 1LT,255,Bottled Water,150,Juice/tonics,174,469,964 Greybull,401 Greybull Ave,Greybull,82426,44.4886,-108.053,ACTIVE,1.99,0.89,1.1,1.0
2598,121239,20161010|157|1|1|1546501,2017-01-03,11153,APPLE FRITTER FCS,270,Bakery Food,269,Bakery,112,48,157 Sylacauga,41301 US Hwy 280,Sylacauga,35150,42.507,-92.4034,ACTIVE,1.59,0.761,0.829,1.0
847,20580,20161010|466|2|2|2171548,2017-01-03,12614,KK AST FILL,64,Krispy Kreme (166),63,Krispy Kreme Retail (166),12,222,466 Centralia,104 W Sneed St,Centralia,65240,39.2103,-92.1384,ACTIVE,2.97,0.99,1.98,3.0
